,Text,Sentiment,label_val,panjang_text
2263,,negative,0,7
2264,kondisi tegalega kumuh sampah menumpuk terurus bedeng bedeng liar tolong perbaiki,negative,0,138
2265,nya pakai telkomsel untung nya untung,negative,0,76
2266,sih baca potongan,negative,0,79
2267,front pembela islam postingan adek armando menghina habib rizieq ulama,neutral,1,59
2268,restoran menu serba makanan indonesia jepang makanan barat lengkap pilihan menu nya main course rupiah 50 000,positive,2,163
2269,tertarik makan malam kompleks hotel sekeluarga menginap hujan malas banget pilihan makanan nya makanan ringan berat enak enak nya open air luas duduk,positive,2,328
2270,restoran menyajikan indomie modifikasi sajian beda enak rekomendasi pencinta indomie ekspor hidangan,positive,2,152
2271,nya lumayan asyik parkiran susun rapi perpaduan aneh enak steak ditemani mi super pedas hem,positive,2,127
2272,sedih campur terharu hai koruptor bangga presiden dasar makanan nya haram otak nya kotor koruptor daging babi haram mencuri duit rakyat halal,negative,0,209
2273,misi bek pas nya luas bermain anak kece banget interior nya,positive,2,150
2274,warga twitter polling jokowi 55 prabowo 45 jokowi menang versi dunia maya alhamdulillah,positive,2,113
2275,efek keracunan sianida singkong ketahuan demo berjilid ala nomer togel kemarin impor daerah laugh loud demo demokan bu risma ahok menyambung bro,negative,0,225
2276,dipecat dipakai dipecat pergi,negative,0,88
2277,pemandangan nya bagus nyaman adem pelayanan ramah cepat makanan enak lupa menu dipesan enak delicious deh pokok nya berkunjung pas hujan dingin dingin deh tersedia mainan jumper binatang anak anak sembari menunggu lumayan bikin senang balita ku,positive,2,344
2278,restoran berda padma hotel lokasi pemandangan restoran indah serasa makan kelilingi tebing curam pemandangan pepohonan hutan rindang menu nya fariasi nya tradisional internasional hotel padma hotel bagus fasilitas nya,positive,2,349
2279,pantai parangtritis yogyakarta mengecewakan kotor seindah orang,negative,0,81
2280,kuliah bandung kampung daun imlek cantik kemarin bawa anak senang haha tertidur perjalanan bangun terkagum terkagum indah pesona bandung nya makanan nya enak enak sesuai udara,positive,2,377
2281,ramai antrean pinggir jalan enak worth dicoba cuanki batagor nya enak murah antrean nya bikin sesak jalur masuk nya membingungkan membawa mangkuk bakso berkuah panas kotor sampah lalat nyaman,negative,0,383
2282,kesal banget nontonin pikir komunitas poligami ampun perempuan perempuan cuci otak laki laki memikirkan nafsu aduh,negative,0,160
2283,berisik banget sih islam tolol siang malam jam segini teriak teriak rumah setan cape anjing ganggu tidur orang,negative,0,155
2284,nama nya swike waled enak nya desa waled cirebon kuah nya tauco nya asin nya pas swieke goreng nya enak harga nya mahal dibanding swike cirebon,positive,2,214
2285,kementerian pekerjaan perumahan rakyat pasang 936 panel surya bendungan jatibarang,neutral,1,63
2286,layanan nya oke pelayan nya ramah menu nya pesan iga coet nya iga nya manis haha manis enak takjil gratis suasana nya asyik sofa nya nyaman live musik toilet bersih musala,positive,2,284
2287,takjub berkunjung indah banget pemandangan nya asri suasana sejuk makanan terkoordinir permainan anak,positive,2,193
2288,sore malam cerah pemandangan indah perbukitan udara segar makanan lezat harga terjangkau pulang suasana hati segar bahagia sayang nya terletak pusat kota transportasi mudah dijangkau taksi dijamin menyesal mengunjungi,positive,2,413
2289,pelayanan minuman bahan buah buahan layak dikonsumsi pastikan kelengkapan cashier berfungsi bagus lucu,positive,2,192
2290,pelayanan cepat makanan enak suasana nya bikin betah makan daerah pedesaan pintu diatur serobot duduk,positive,2,186
2291,letak nya foodcourt bandung indah plaza lantai cabang dapur pasta kota parahyangan ditawarkan olahan pasta thailand seafood spaghetti isi utama nya cumi udang chili ponju sauce dilengkapi paprika merah paprika hijau bawang bombay fettucini carbonara lembut spaghetti bolognaise spaghetti meat,positive,2,428
2292,masuk kopitiam oey era zaman nuansa nya cocok nongkrong foto foto makanan dinikmati suasana nya desain restoran unik,positive,2,220
2293,order lambrusco wine italia pilihan wine lengkap banget lokal wine premium manis wine pas banget suasana hotel adem staf ramah pelayanan nya mas reza richard faisal server pas disambut gro mbak diah eca pemandangan hijau hijau suasana adem,positive,2,358
2294,cocok bersantap keluarga menikmati hidangan lezat mengobrol melepas penat seharian beraktivitas pokok nya teh terbaik deh,positive,2,162
2295,haha dasar tolol orang anti rizki anggap tionghoa haha dasar goblok,negative,0,92
2296,resto nya masuk gang rekomendasi resto wajib ku njungi sekeluarga bandung murah makanan nya enak banget ayam goreng areng cocok keluarga,positive,2,231
2297,uan sulit kemarin,negative,0,52
2298,susilo bambang yudhoyono kawan kawan ribut melulu dijatuhkan kepalang tanggung ayo jatuhkan penakut,negative,0,97
2299,nasional chain cabang suki pilihan daging bakso disertai 2 kuah sup ayam tom yum suki barberque bumbu gurih enak,positive,2,192
2300,ustad felix malu kepedean orang tad,negative,0,101
2301,ara ruang deng ical diusung demokrat,neutral,1,51
2302,makan sungguh unik kental nuansa tempo piring gelas sengaja perabot terbuat besi jarang temui era makanan disuguhkan bervariasi nasi liwet nasi merah lauk pilihan menggoda selera daging ayam aneka seafood,positive,2,394
2303,kualitas lounge t3u ap2 mengecewakan eskalator lorong lorong kotor desain sempit memanjang,negative,0,124
2304,bulukan rumah sih telkom sebulan libur,negative,0,68
2305,restaurant kampung daun unik saung saung jalan saung nya berbukit makan enak beragam harga nya mahal standar restauran nya unik,positive,2,229
2306,favorit ribs barbeque suis butcher potongan daging nya lembut susah dipotong bumbu barbeque nya menyerap daging tetesan tabasco ribs barbeque sempurna hidangan pembuka salad buah salad sayuran enak buah sayuran nya segar thousand island nya enak disediakan air putih gratis memesan,positive,2,434
2307,suasana alami udara segar makanan nya lumayan enak pelayanan nya si okelah terbayar suasana indah,positive,2,143
2308,jokowi sayang cucu nya,positive,2,34
2309,ditakdirkan menikmati indomie goreng menebus mi nya lo nya cooked grinningfacewithsweat,negative,0,160
2310,mi rica nya enak pakai babi jarang jarang bakso udang goreng nya enak buka awas jam istirahat tutup nya jam 3 5 salah pokok nya top,positive,2,223
2311,lelah perjalanana lumayan kota bandung terbayar suasana lezatnta hidangan disempurnakan pelayanan ramah cepat pramusaji lupa pilih desert buah stroberi segar hidangkan susu coklat akanketagihan nasi liwet komplet menu utama layak coba harga bersahabat dibandingkan restauran sejenis bandung,positive,2,402
2312,anak cucu mampir braga art pesan ayam kaleyo anak pesan nasi goreng pelayanan cepat makan enak desain lantai 1 unik klaton meja kursi serba kuno unik,positive,2,221
2313,musala stasiun jalur bogor kondisi nya sempit fasilitas wudhu sekelas stasiun bogor,negative,0,148
2314,direkomendasikan menu kepiting saus tiram kangkung cah ayam jahe mantap masakanny oke porsi pas penyajian masakan nya memakan pelayan nya ramah sopan atmosphere nya bangunan makanan top deh pokok nya bandung coba makan,positive,2,403
2315,memasuki resto sagoo disuguhi interior antik pernak pernik jadul barang barang dapur zaman makanan ditawarkan khas peranakan zaman harga sebanding alias standar istimewa penampilan ruang penyajian,negative,0,327
2316,enak banget sate kambing nya ketagihan,positive,2,38
2317,asus mahal,negative,0,36
2318,mie nya enak daging cincang lembut sayang kadang penuh menunggu mengantar nya sepadan sih didapatkan,positive,2,164
2319,ahok remisi front pembela islam adilan,neutral,1,56
2320,area restoran lumayan luas parkir pemandangan bagus makanan disajikan sebanding harga coba makan rawon lidah merasakan sensasi diharapkan,negative,0,224
2321,nya pas braga sesuai tema diusung pelayanan nya ramah cekatan makanan minuman nya harga nya bersahabat teh tarik nya kental enak kopin nya bikin tidur sesuai nasehat nya menu rekomendasi santai selagi menikmati sejarah jalan braga,positive,2,362
2322,kentaki fried chicken dago mengalami kemacetan mampir kentaki fried chicken dago mengisi perut amenu ayam kentucky nya nasi sup cream tergantung selera nya strategis,positive,2,192
2323,resto konsep natural keindahan alam sejuk hijau memasuki kawasan forest bagus istri senang wisata alam kampung daun makan siang saung saung dilengkap bantal guling suasana mendukung sejuk enak hijau nya daun daun menyegarkan,positive,2,403
2324,100 million b c dirilis jurrasic commando prancis film aksi 2008 asylum,neutral,1,108
2325,masakan sunda pilihan lauk lumayan enak harga relatif terjangkau ukuran restoran kebersihan dijual kue balok sejenis kue bolu dimasak arang,positive,2,254
2326,gojek berusaha adil driver nya cancel order eh dimanfaatkan driver driver bertanggung,positive,2,132
2327,gudeg nya enak kerasa cita yoyakarta disesuaikan lidah bandung nya strategis makan makan keluarga,positive,2,135
2328,keislaman prabowo subianto nya beragama kristen protestan,negative,0,131
2329,suasana adem asri bikin betah berlama angin nya enak banget bersantai makan duduk sofa restaurant nya terlelap tidup menit memandang danau indah bunga bunga ditaman sungai buatan nya beranjak,positive,2,305
2330,makanan nya lumayan enak makanan barat indonesia pilihan menu nya onion ring nya renyah sandwich nya enak,positive,2,140
2331,sulit,positive,2,11
2332,rombongan teman tertarik nya pemandangan nya bagus menyaksikan setuju pemandangan bagus ditawarkan kafe memilih area non smoking menikmti pemandangan bagus memesan tenderloin steak daging lembut disajikan fried potato saus mushroom istimewa dibandingkan harga nya lumayan mahal,negative,0,459
2333,zaman susilo bambang yudhoyono penanganan cyber tersebar institusi negara badan cyber nasional tahap perancangan pemerintah mengirim tim mempelajari badan cyber bentukan negara,neutral,1,227
2334,5 sih ganjar mengapaen sih banjir,negative,0,82
2335,suka desain kafe rumah pernak pernik interior makanan standar dicoba nasi butter salmon enak,positive,2,163
2336,dalang nya tikus got bro,negative,0,65
2337,betuuuul pakai jakarta inspired lipcream cantik longlasting worth harga 100k,positive,2,118
2338,salah pilihan sarapan kota bandung suasana bandung dingin cocok menyantap panas nya mie kocok kaki sapi ditambah kerupuk lezat patut dicoba liburan kota bandung,positive,2,258
2339,mu caffe bar paris van java kafe menayangkan film film sepak bola kadang kadang suara nya keras teman mengobrol santai santai,positive,2,180
2340,rekomendasi sih bikin daya tahan baterai berkurang menonton video disarankan baterai handphone dinas penuh 80 90,negative,0,247
2341,teman berkunjung kafe pakar masuk disambut ramah senyuman lebar greeter nya memesan pilihan duduk tersedia kafe pakar langsung memesan membayar pesanan kasir memesan martabak nutella skippy bandrek batagor martabak nya enak selayaknya martabak bandrek nya menghangatkan,positive,2,428
2342,parfum casablanca cepat menguap bau nya mengecewakan,negative,0,62
2343,ayam yoyakarta syam goreng manis ayam nya empuk,positive,2,90
2344,salah tongkrongan bandung pemandangan nya indah banget dimalam tiupan angin dinginkan enak nya minum wedang ronde makan sup zupa tom yam soup,positive,2,215
2345,rekomendasi anak anak kayak nya mbak bercandaan obrolan nya dewasa lsi keterangan nya 17,negative,0,151
2346,indonesia maju diperbudak tolol 7 generasi nya yoyakarta diperbudak monopoli pertamina miskin,negative,0,167
2347,berpikir tokoh utama perpecahan menjadikan orang kambing hitam bosan orang orang munafik,negative,0,159
2348,gila disuruh 90 menit ujian nya mundur jam nya kasihan panas panas pemberi harapan palsu orang,negative,0,155
2349,makanan disediakan berkualitas enak variasi lumanyan suka suasana nya nyaman bersih cocok santai minum kopi nya segar,positive,2,244
2350,makanan prasmanan enak ruang makan luas variasi menu lezat sayur lalap ambil sepuas nya menjadikan menu sehat,positive,2,145
2351,orang pendirian,negative,0,48
2352,bani kampret suka micin pakde jokowi imlek dibilang haramlah antek kafirlah coba anies cari muka pakai baju imlek vihara petak sembilan sialan konsisten berani anies haram antek kafir,negative,0,259
2353,cashback dikasih bates pemakaian minimal alhasil cashback hilang,negative,0,110
2354,makan khusus ayam goreng citarasa manis berkecap digoreng kering cenderung lembab ukuran ayam nya dijual ekor ekor ayam diproses semi dipresto lunak bumbu meresap daging nya,positive,2,314
2355,makanan nya enak lupa coba nasi liwet nya enak santap hangat hangat jus stroberi segar rekomendasi lembang bandung,positive,2,169
2356,makanan beragam coba mi naripan sate maulana yusuf cocok keluarga belanja makan,positive,2,156
2357,firdaus dukung suhartono calon wawli demokrat,neutral,1,50
2358,makanan nya enak memilih jenis kuah memilih varian menu mie dipesan mi katsu kuah merapi lv 2 enak banget nya berbentuk kedai harga nya murah,positive,2,242
2359,sih orang arab racist kemarin kemarin gue bahas agama ras suku bangsa lo idiot,negative,0,152
2360,makan nya indah menu menarik tamu grup saung tersendiri bantalan kasur cushion pillow nyaman hehe menumpang tidur siang nya nyaman makanan lumayan enak porsi,positive,2,297
2361,susilo bambang yudhoyono lakukan 10 berhutang bertentangan semangat trisakti,negative,0,114
2362,siang mas sis kabar sayang,neutral,1,29
2363,datanglah malam menikmati bandung ketinggian bertabur bintang bintang ambil seat pesan tenderlon steak sop iga bakar menyesal,positive,2,179
2364,manfaatkan inseminasi buatan peternak kabupaten malang raup keuntungan,neutral,1,72
2365,oi akses data donlod mentok 48 kbps bikin keburu keriput menunggu,negative,0,94
2366,jawa dibentuk moral nya sungkan cocok nya pesuruh cocok nya pembantu,negative,0,151
2367,catatan refleksi semesta restorasi partai nasional demokrat,neutral,1,64
2368,hinca panjaitan lantik pengurus dewan perwakilan daerah demokrat papua,neutral,1,50
2369,kebaikan gagal hati,positive,2,56
2370,nya enak santai santai tunggu nya teduh pohon rindang makan makanan diini spagheti menunggu 1 jam menunggu makanan 1 jam makanan spageti tersedia 30 detik fastfood,positive,2,293
2371,pemerataan jaringan bertahap telkom,neutral,1,69
2372,makan bikin lupa harga murah kalap ambil makanan __laugh__,positive,2,115
2373,nyaman hang kerjakan tugas makanan berat ringan tersedia rawon nya pas,positive,2,124
2374,dedi mulyadi lawan ridwan kamil pilihan kepala daerah jawa barat 2018,neutral,1,57
2375,makanan pasta makanan nya modern modern makanan barat eropa nya enak nyaman mengobrol pesan nya pasta pasta nya enak,positive,2,205
2376,orang bisu kesurupan menyusahkan,negative,0,32
2377,suasana restoran alamiah didisain arsitek air sungai suara gemericik enak didengar orang kota mendengar suara gemericik air nya tumbuhan pakis hutan ditata apik jembatan kayu bagus latar memotret masakan nya lidah bergoyang deh bagus makan membawa keluarga,positive,2,422
2378,habis beli pulsa daftar paket internet gagal suruh mengulang 363,neutral,1,108
2379,asyik romantis samping makanan nya enak makan pagi pemandangan menawan sensasi restoran,positive,2,177
2380,kafe lembah curug menyediakan makanan khas sunda bergaya kafe anak muda nyaman harga terbilang murah terjangkau,positive,2,152
2381,erdogan menang curang,negative,0,36
2382,lomba panjat pinang diajarkan belanda menertawai pribumi pendapat mu,negative,0,82
2383,menikmati batagor riri pool travel cititrans jalan jujungan menunggu jam keberangkatan jakarta tersedia siomay harga 10 ribu potong ikan tenggiri nya kental dipadu saos kacang bercampur kecap manis mengenyangkan camilan sore,positive,2,324
2384,keluarga keunikkan nya anak anak suka menikmati kue kue memutar meja lumayan burger nya enak,positive,2,221
2385,cocok ridwan kamil st charli st 12 penyanyi gubernur,negative,0,84
2386,malam minggu pasangan couple nya nyaman orang goyang goyang nya warung pinggir jalan lembang sesuai harga makanan disajikam pasangan bagus sembarang terima tamu taro,negative,0,372
2387,enkaolshop terpercaya barang nya bagus bagus,positive,2,48
2388,bakmi nya enak pedas tergantung selera porsi nya coba menu bakmie,positive,2,157
2389,masakan nya sunda piring sendok gelas nya sunda nya cocok keluarga,positive,2,125
2390,salah restoran terbaik bandung hotel savoy homann bidakara makanan disajikan sarapan lunch diner variatif,positive,2,164
2391,resto terletak bukit area dago pakar rekomendasikan singgahi bersantap menikmati sunset letak nya dataran menikmati keindahan alam pegunungan suasana kota bandung makananan nya cita masakan sunda indonesia internasional,positive,2,380
2392,makanan enak bervariasi pemandangan bukit bikin damai hati betah berlama duduk mengobrol utara ngidul,positive,2,143
2393,yogyakarta ditiap sudut jalan hotel sayang kelas bintang 3 harga mahal pelayanan setara,negative,0,139
2394,gue kemarin marah banget gara gara indosat sinyal,negative,0,82
2395,rakyat jenuh mendengar ocehan politikus pemerintah,negative,0,153
2396,kafe zaman favorit aneka sosis nya favorit blackpepper sausage disajikan kentang goreng,positive,2,144
2397,daerah dinoyo macet bikin telat masuk kantor,negative,0,67
2398,babak pertarungan menteri susi korsel cinta komisi pemilihan daerah,neutral,1,53
2399,warung bakso kota bandung tambahan ceker tulang kikil perut kenyang,positive,2,118
2400,kang hasil pembangunan trotoar riau junction bereskan alhasil pejalan kaki kotor,negative,0,115
2401,andai jam 6 langsung bergiat menunggu jam 6 terjebak macet tahan pipis,negative,0,122
2402,sekecewa kecewa nya beli barang mahal mahal nya jelek,negative,0,67
2403,saus steak nya mantap banget bau bau wangi gosong2 suka makanan berbau wangi gosong gosong steak sirloin nya mantan es coklat nya enak harga bersahabat susah parkir nya orang bawa mobil kenya kebiasaa nya __laugh__,positive,2,292
2404,set ikan gurame murah enak direkomendasikan makan ikan,positive,2,117
2405,room nyaman bersih sayang bek nya queen nya okelah musala air lancar bersih sarapan lumayan diantar room,positive,2,175
2406,nya strategis swalayan pintu tol pasteur makanan nya enak nya nyaman bersih,positive,2,153
2407,senang banget hotel enak nyaman asri plus afternoon tea time gratis makanan minuman enak angin semriwing minum bandrek delightful terima kasih mbak diah mas artha bartender services,positive,2,243
2408,warganet april piknik toba bilang iya mengecewakan sistem pariwisata parapat nya kotor susah cari akomodasi bagus agen transportasi profesional supir travel nya pokok nya parapat,negative,0,324
2409,keberadaan nya kafe berkelas tampilan nya menarik desain interior nya dibandingkan retoran kafe lokasi jalan riau seiring kafe lokasi fabrik terletak persis penagdilan negeri bandung lokasi kafe distro koleksi fashion unik restoran kafe nyaman asyik berkumpul,positive,2,432
2410,pencitraan fitnah demonstrasi demonstrasi front pembela islam byrn sayang majelis ulama indonesia prabowo bayarkan bui 313 dakwah saradanpolitik anti kafir anti ahok bayar saracen 1500 pamflet sara salatkan penista ancaman tamasya ala masuk sel kalah pilihan kepala daerah sara anjing didiskualifikasi,negative,0,301
2411,berkunjung utama nya suasana makan nya selebihnya istimewa makanan dijual relatif mahal enak makanan dingin kadang asin,positive,2,250
2412,ketua geomaritim kritisi kebijakan menteri susi,neutral,1,47
2413,marah indosat sinyal nya hilang melulu sih,negative,0,54
2414,pelayanan terbaik bukalapak,positive,2,49
2415,suka makan seafood segar kolam ambil nya dicoba lobster nya deh lobster nya murah dibandingkan restorant seafood sekelas enak dibumbukan dibakar kepiting nya dibawa pulang gede gede bumbu nya melepoh pokok nya enak banget nama nya kepiting termos rekomendasi resto seafood bandung pokok nya,positive,2,398
2416,kemarin mendaftar beasiswa djarum,neutral,1,40
2417,strategis halaman luas kendaraan jam makan siang parkir nya disambut gaya khas bandung bersih musik terdengar sayu2 cepat penyajian nya,positive,2,237
2418,kebanyakan penggemar ego multi fandom stage nya ski hype banget nya lagu nya pesta dibawakan iya banget kecewa nya stage sebagus junior,negative,0,234
2419,bosan film ditonton mati gaya,negative,0,67
2420,kemarin uang berlebih nih makan abuba steak makan steak nya enak banget,positive,2,164
2421,nya romantis nya malam lokasi nya sih susah ditemukan makanan nya enak,positive,2,143
2422,enak bervariasi harga terjangkau pelanan nya mengecewakan memesan 3 ikan mas makanan pelayan mencatat menunggu 1 jam minuman makanan pesan pelayan lanjutan,negative,0,425
2423,3 kalinya berkunjung tampat melepas penat 1 minggu pergi keluarga pasangan bercengkrama berfoto minum kopi makan menu enak lihat kenyang perut menangis dompet haha harga menu sebanding terima see tim,positive,2,378
2424,kuliner bandung direkomendasikan dikunjungi lokasi nya kota nya luas kursi makan nya pilihan makanan nya beragam tinggal pilih sesuai selera kantong tinggal pintar memilih lokasi nya dibedakan merokok non merokok area,positive,2,327
2425,bahagia,positive,2,7
2426,main nyaman pemandangan santai nyaman kafe ditambah staf terbuat kayu menambah atmosfer alam makanan nya bervariasi cocok peneman mengobrol teman teman,positive,2,321
2427,makan malam suasana pesta nya live musik fountain makanan bervariatif kios kiri kanan sistem nya pesan terima bon bayar kasir terpisah oh lihat sepeda motif lampu warna warni disewa,positive,2,388
2428,alternatif jasa bersih bersih jakarta gue mencoba go clean hasil nya oke,positive,2,104
2429,jalan braga restoran sumber hidangan restoran braga permai restoran maison bogerijn rekomendasi makanan 1 pizza 2 zuppa soup 3 bitter ballen harga bersahabat lokasi makanan,positive,2,244
2430,marah indosat,negative,0,47
2431,payah cupu sampah berani sms laki selesaikan lelaki mas nya,negative,0,108
2432,gue bingung pendukung bosan setipe nya maki maki fitnah kasar menyebar isu bohong mengutamakan emosi akal sehat dipakai,negative,0,195
2433,enak indah siang sore malam bagus obor obor makanan nya makanan tradisional zaman menemukan makanan nya lumayan pelayanan nya sih hehe pas lapar2 banget,positive,2,350
2434,balcony berlokasi hotel bilique letak nya belokan terminal ledeng arah peak kampung daun resto jenis masakan sop buntut buntut goreng nya enak,positive,2,208
2435,makanan nya endeus suasana nya nyaman nasi tutug nya enak karedok nya mantap,positive,2,108
2436,kebanggaan terbesar gagal bangkit jatuh,positive,2,103
2437,dialog penenggelaman kapal untung menteri susi menyerah pemberlakuan moratorium penenggelaman kapal kepentingan ekonomi membuktikan nya,neutral,1,199
2438,cocok vegetarian cepat bosan menu restoran variatif harga terjangkau lokasi bersih,positive,2,138
2439,pesan nasi goreng es green tea nasi goreng nya oke bikin suka es green tea nya air gula warna hijau pesan,positive,2,193
2440,pulang jakarta makan kenyang putuskanlah mampir warung upnormal sejalan arah tol jakarta kondisi nya hujan sepi memesan indomie upnormal keju mitra tambahan sosis minum teh manis panas nya enak nongkrong,positive,2,396
2441,lokasi dago kafe romantis malam mengambil duduk sofa pilihan suasana tenang nyaman disayangkan perokok bersatu ruang alangkah sebagus luas memisahkan perokok perokok kenyamanan makanan oke steak nya oke,positive,2,401
2442,makan menggugah selera pilihan makanan minuman variatif udara pemandangan nya seakan malas beranjak restoran anak anak lahap menyantap makanan,positive,2,247
2443,suasana khas bandung keramahan petugas nyaman makanan enak bervariasi menu nya,positive,2,105
2444,sedih baca berita berita negeri bancaan ganti presiden serahkan negeri tangan tangan kotor,negative,0,157
2445,mahasiswa otak nya isi nya tahi anjing,negative,0,55
2446,orang islam indonesia hak istimewa cina racist geregetan cina parasit,negative,0,140
2447,memilih memilih gubernur pilihan orang,neutral,1,71
2448,ngeload pesan gofood,neutral,1,40
2449,bali bali kayak nya kiat orang syirik nya agama hindu patung disembah nya patung bantu pas gempa patung nya diam jatuh dasar goblok,negative,0,261
2450,motor honda pakai piston original hop dijamin performa prima menyesal beli nya ragu,positive,2,166
2451,pas suasana suasana warung ayam goreng kaki restoran ayam goreng kecuali nya luas pas makanan normal nya asam goreng keluarga keluarga komplain bawa situ sambal nya asam,negative,0,377
2452,orang sunda kangen masakan asli hiruk pikuk kota bandung memilih suasana nya sunda lengkap menu perabotan tradisional sunda,positive,2,183
2453,film wiro sableng bagus hasil karya anak bangsa ayo menonton bioskop kesayangan menyesal,positive,2,149
2454,porsi nya lumayan harga nya mahal porsi bakso pakai nasi nya,positive,2,119
2455,musnahkan front pembela islam pengajar kebencian,negative,0,34
2456,toko roti rammona terkenal mencari roti pilihan nya camilan cocok dibawa,positive,2,157
2457,orang galau cinta gara gara makanan gara gara tas menangis 2,negative,0,106
2458,terpesona,positive,2,9
2459,menempati bangunan wx oxtail grup lokasi strategis bawa mobil berkomunikasi tukang parkir terbiasa parkir spjg jalan membedakan warung tegal nyaman gaul thematic pokok nya serasa makan restorranlah menu menu masakan rumahanlah pilihan minum nya variatif,positive,2,440
2460,menonton permainan gubernur kesalahan langsung viralkan,negative,0,111
2461,berkunjung cuanki serayu jam 11 12 indonesia barat penuh terlayani menu enak berkuah dipisahkan counter nya menganggu makan minuman jus buah tersedia lengkap enak memuaskan,positive,2,350
2462,letak nya pujasera merdeka seberang mal tua bandung cip pujasera ramai foodcourt mal minuman wajib dicoba,positive,2,200
2463,info disiarkan koalisi rakyat anti rezim zalim viralkan berhenti telepon genggam,negative,0,107
2464,halo mencoba mengunjungi kopi anjis bandung suasana nya ramai ramai bising lokasi nya lampu merah suara klakson kendaraan suara mesin kendaraan bising makan minuman order pesanan kaget pelayan nya berbicara bahasa sunda bahasa nya kasar,negative,0,396
2465,kereta jayabaya malang jakarta berhenti gubeng tiket 35 ribu plus asuransi 6 ribu via traveloka,neutral,1,107
2466,upnormal cocok anak muda senang nongkrong main nya nyaman disediakan mainan menu makanan unik indomi nya harga mahal suka indomi nya pakai keju,positive,2,326
2467,restoran memiliki makanan enak sayang pelayanan nya buruk pelayan 2 orang 2 orang include kasir kewalahan melayanai maksimal penyajian makanan dipesan mengecewakan mengalami sop buntut bakar disajikan langsung sambal langsung dicampur alhasil anak makan,negative,0,432
2468,habis belanja bareng teman langsung buka menu pilihan nya nya luas pulang shoping perut kenyang enak enak makanan nya,positive,2,180
2469,menyesal sumpah kebanyakan merekam langsung sebong masuk ganyadar sibuk handphone sumpah menangis banget,negative,0,187
2470,rumah makan pas perempatan jalan hotel california bandung desain rumah makan menampilkan ornamen bambu menu masakan nya khas sunda model prasmanan pesan paket menu rombongan pas ikan bakar sayur asem cah kangkung maknyus,positive,2,322
2471,makan ayam goreng plus mencicipi nikmat nya ketan bakar colenak bandrek berselimut udara dingin mantap ayam goreng harga standar ketan bakar colenak bandrek harga dikisaran 7000 8000 piece,positive,2,206
2472,mohon ditindak wajah partai komunis indonesia penghina tentara nasional indonesia tolok lacak ciduk,neutral,1,62
2473,maxi si resto keluarga pesta pernikahan pesta ulang penuh pelayanan nya penuh resto memberitahukan tamu tamu memarkirkan kendaraan hujan deras jarak parkir resto lumayan ditutup pesta,positive,2,412
2474,bandung genre mi terkenal tersebar kota penggemar mi aloi kedai ku njungi tekstur mie nya enak kenyal tender kuah nya gurih wangi sabar antre makan nya pas minggu pagi,positive,2,309
2475,teh tong ji letak nya foodcourt bip franchise suka milk tea perpaduan teh susu nya enak harga khawatir harga standar teh 5 000 10 000,positive,2,237
2476,positif 1 nyaman enak 2 kadang dijadikan pra wedding nya 3 makanan sunda negatif 1 ramadan susah memesan 2 harga lumayan mahal kesimpulan direkomendasikan orang seppesial,positive,2,268
2477,makanan pilihan tradisional modern dicoba ayam taliwang lumayan sayang proyek pembangunan crane kerja asyik makan bareng,positive,2,289
2478,korean fried chicken bumbu saus madu camilan enak harga nya lumayan mahal wajib dicoba,positive,2,110
2479,penerbangan indonesia ngehargai bayar mahal pelayanan nya mengecewakan,negative,0,116
2480,makan halalbihalal rekan kerja restoran memiliki duduk cocok pasangan grup tamu memilih lauk dimasak mengambil jajanan otak otak gejrot dipesan gerobak pojok restoran,positive,2,294
2481,demokrat konflik koalisi jawa barat meluas pilihan kepala daerah,neutral,1,68
2482,lumayan dibanding bubur disekitar harga sekelas semangkok bubur relatif mahal lumayan bersih pembeli mengantre setimpal,positive,2,215
2483,berhenti siang melelahkan,negative,0,55
2484,salah restoran lengkap bandung seafood indonesia minuman nya gelas,positive,2,137
2485,penyuka kopi kangen kopi gayo makanan nya sih simpel indomie diolah aneka roti bakar varian roti bakar green tea nya enak nasi goreng nya enak indomie nya nya lumayan enak menarik simpel penataan nya,positive,2,316
2486,kuliner khas bandung kiosk makanan khas bandung makanan berat ringan kiosk bandung,positive,2,204
2487,suasana nyaman mengobrol teman kerabat nilai makanan standar kafe menyajikan menu menu kalah enak,positive,2,216
2488,menemukan bakso keju bandung bakso nya enak keju nya meleleh mantap pilihan bakso bakso urat ceker ayam enak harga nya bersahabat kantong,positive,2,222
2489,mal oke bandung nya makan restoran bioskop nya oke interior eksterior nya keren taman taman cocok bersantai foto foto swafoto,positive,2,204
2490,olahan bakso divariasi kekinian menu bakso keju nyaman lidah mencoba menu bakso,positive,2,150
2491,ketagihan makan cah kangkung nya enak pelayanan nya bagus ramah nya nyaman strategis pusat kota bandung swalayan hotel pintu tol pasteur kota mudah menemukan,positive,2,297
2492,bakmi naripan makan tujuan bandung daging nya favorit yamien manis nya,positive,2,127
2493,nya luas lumayan nyaman menyenangkan pengunjung lumayan ramai menu makanan bervariatif enak harga terjangkau mahal,positive,2,208
2494,emosi gojek gocar menyasar rumah,negative,0,72
2495,simpang raya pasteur menyajikan makanan padang khas menu rekomendasi udang balado melayani pengiriman,positive,2,124
2496,penggemar steak makan abuba dibayangkan sauce nya enak sauce abc nya barbeque pilihan sauce,negative,0,267
